Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
25	:	1686609861.931	    16.980	0	288	0	0		 ./hcov-panel 01e51a4d-79e6-4964-99c8-e1cae9e4b60a /home/michaeljon/pipeline/fastq/Chip12/Sample_32_IonXpress_032_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
23	:	1686609793.545	   112.425	0	288	0	0		 ./hcov-panel 19c63536-11ca-44fc-a3ee-b429d93fe8f6 /home/michaeljon/pipeline/fastq/Chip12/Sample_30_IonXpress_030_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
24	:	1686609841.995	   167.278	0	288	0	0		 ./hcov-panel b60ce780-5a32-4ab8-9fd5-9a055e1dc0f2 /home/michaeljon/pipeline/fastq/Chip12/Sample_31_IonXpress_031_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
21	:	1686609700.173	   323.202	0	288	0	0		 ./hcov-panel 7c100a87-45ef-4258-91cc-b17dced96bcc /home/michaeljon/pipeline/fastq/Chip12/Sample_29_IonXpress_029_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
29	:	1686610023.381	    15.460	0	288	0	0		 ./hcov-panel d34dde76-c401-4c54-a250-2241fccc7aa3 /home/michaeljon/pipeline/fastq/Chip12/Sample_6_IonXpress_006_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
28	:	1686610009.286	    45.954	0	288	0	0		 ./hcov-panel 5d31205e-2f36-4429-938f-95a1cc084477 /home/michaeljon/pipeline/fastq/Chip12/Sample_5_IonXpress_005_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
31	:	1686610055.245	    17.331	0	288	0	0		 ./hcov-panel 371b776a-a8a9-41d7-b2af-f1c78db24e0a /home/michaeljon/pipeline/fastq/Chip12/Sample_8_IonXpress_008_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
26	:	1686609878.923	   252.225	0	288	0	0		 ./hcov-panel 9bd5c854-3666-4ff2-bdd7-c955715894cb /home/michaeljon/pipeline/fastq/Chip12/Sample_3_IonXpress_003_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
32	:	1686610072.581	    66.261	0	288	0	0		 ./hcov-panel c7852427-a91a-4a64-897f-8cc3e2e8f329 /home/michaeljon/pipeline/fastq/Chip12/Sample_9_IonXpress_009_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
30	:	1686610038.854	   108.346	0	288	0	0		 ./hcov-panel a4745407-829c-4b31-890b-43e5092b9b01 /home/michaeljon/pipeline/fastq/Chip12/Sample_7_IonXpress_007_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
27	:	1686609905.975	   377.201	0	288	0	0		 ./hcov-panel f8647214-7cab-4fc7-a08b-efe446db3dd4 /home/michaeljon/pipeline/fastq/Chip12/Sample_4_IonXpress_004_R_2023_06_07_14_30_36_user_GSS5PR-0172-17-20230606_Chip_12.fastq Chip12
