Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1686602903.091	   110.105	0	288	0	0		 ./hcov-panel 78df1811-64d8-4480-8a57-2e4c22f853d9 /home/michaeljon/pipeline/fastq/Chip11/Sample_13_IonXpress_013_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
2	:	1686602903.085	   222.772	0	288	0	0		 ./hcov-panel 2bd9c98e-0c4d-4e6e-8086-72d8ef2ed48b /home/michaeljon/pipeline/fastq/Chip11/Sample_11_IonXpress_011_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
3	:	1686602903.088	   223.197	0	288	0	0		 ./hcov-panel 13775273-8c5f-4a60-bd4a-ca61954e20d7 /home/michaeljon/pipeline/fastq/Chip11/Sample_12_IonXpress_012_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
5	:	1686603013.210	   115.776	0	288	0	0		 ./hcov-panel 6dd4a937-a14d-4848-9bbf-3b092f1546fc /home/michaeljon/pipeline/fastq/Chip11/Sample_14_IonXpress_014_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
8	:	1686603128.999	   109.077	0	288	0	0		 ./hcov-panel 935fc3f7-f847-4162-bf9e-b06cb82c0767 /home/michaeljon/pipeline/fastq/Chip11/Sample_17_IonXpress_017_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
6	:	1686603125.860	   156.105	0	288	0	0		 ./hcov-panel 00600f28-b8ac-4a03-a967-1fcc9d6c9d98 /home/michaeljon/pipeline/fastq/Chip11/Sample_15_IonXpress_015_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
1	:	1686602903.083	   381.430	0	288	0	0		 ./hcov-panel ea6f0c55-84d5-48da-b352-a20124647e4d /home/michaeljon/pipeline/fastq/Chip11/Sample_10_IonXpress_010_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
9	:	1686603238.081	    85.447	0	288	0	0		 ./hcov-panel 70813165-5fa7-4cd3-b096-81b8b14d0a13 /home/michaeljon/pipeline/fastq/Chip11/Sample_18_IonXpress_018_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
12	:	1686603323.534	    70.108	0	288	0	0		 ./hcov-panel 82776826-a4e5-4046-81a9-344f16ade834 /home/michaeljon/pipeline/fastq/Chip11/Sample_20_IonXpress_020_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
10	:	1686603281.969	   155.195	0	288	0	0		 ./hcov-panel 71e8cb93-0f47-4353-a555-82acdf280c4f /home/michaeljon/pipeline/fastq/Chip11/Sample_19_IonXpress_019_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
13	:	1686603393.647	    63.641	0	288	0	0		 ./hcov-panel 15e510f8-ff0b-48d9-be1c-5a960d560ba5 /home/michaeljon/pipeline/fastq/Chip11/Sample_21_IonXpress_021_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
11	:	1686603284.519	   186.128	0	288	0	0		 ./hcov-panel df6efa87-41fe-4307-824f-15f65b3b090b /home/michaeljon/pipeline/fastq/Chip11/Sample_1_IonXpress_001_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
7	:	1686603126.291	   416.253	0	288	0	0		 ./hcov-panel 706dcd52-36cc-4280-92a8-8a5626b4353d /home/michaeljon/pipeline/fastq/Chip11/Sample_16_IonXpress_016_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
14	:	1686603437.169	   106.282	0	288	0	0		 ./hcov-panel 852f9293-b88d-4796-870f-6d778d090e91 /home/michaeljon/pipeline/fastq/Chip11/Sample_22_IonXpress_022_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
