Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
16	:	1686603470.652	    89.016	0	288	0	0		 ./hcov-panel 6a3b275f-4de5-4ca7-a5d4-617de8abb947 /home/michaeljon/pipeline/fastq/Chip11/Sample_24_IonXpress_024_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
19	:	1686603559.674	    79.625	0	288	0	0		 ./hcov-panel 2a4b647d-b4c7-49fe-916a-0d149229d698 /home/michaeljon/pipeline/fastq/Chip11/Sample_27_IonXpress_027_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
15	:	1686603457.294	   185.304	0	288	0	0		 ./hcov-panel a63fac61-eb1a-402a-a080-3f9d5c4db3e4 /home/michaeljon/pipeline/fastq/Chip11/Sample_23_IonXpress_023_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
17	:	1686603542.548	   126.283	0	288	0	0		 ./hcov-panel a64771e2-d627-400a-99bb-720131eb2e62 /home/michaeljon/pipeline/fastq/Chip11/Sample_25_IonXpress_025_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
21	:	1686603642.602	    70.039	0	288	0	0		 ./hcov-panel 8f58b8b1-e67b-48b6-8551-8cfb7964e937 /home/michaeljon/pipeline/fastq/Chip11/Sample_29_IonXpress_029_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
23	:	1686603712.651	   154.260	0	288	0	0		 ./hcov-panel e9dbad77-7160-4f9e-a536-4f1a9ec4ef7e /home/michaeljon/pipeline/fastq/Chip11/Sample_30_IonXpress_030_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
24	:	1686603866.917	    93.753	0	288	0	0		 ./hcov-panel 0eb13e34-b9bb-427a-8fc1-7031e5703801 /home/michaeljon/pipeline/fastq/Chip11/Sample_31_IonXpress_031_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
22	:	1686603668.835	   299.112	0	288	0	0		 ./hcov-panel 425b78f7-084d-42dd-858e-44c7d3156a0e /home/michaeljon/pipeline/fastq/Chip11/Sample_2_IonXpress_002_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
20	:	1686603639.303	   342.947	0	288	0	0		 ./hcov-panel 5c6a476d-91f6-43e3-b7db-c0e7b4ddcdf9 /home/michaeljon/pipeline/fastq/Chip11/Sample_28_IonXpress_028_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
25	:	1686603960.675	    81.154	0	288	0	0		 ./hcov-panel a857c259-2b61-47fd-96e3-7109c3f1b049 /home/michaeljon/pipeline/fastq/Chip11/Sample_32_IonXpress_032_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
27	:	1686603982.258	   145.415	0	288	0	0		 ./hcov-panel 78a98e99-e67d-43c2-b4ab-215a50a5a866 /home/michaeljon/pipeline/fastq/Chip11/Sample_4_IonXpress_004_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
26	:	1686603967.952	   179.332	0	288	0	0		 ./hcov-panel 7e936a63-d9fe-45bb-a7e4-be87885e50ba /home/michaeljon/pipeline/fastq/Chip11/Sample_3_IonXpress_003_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
28	:	1686604041.833	   134.377	0	288	0	0		 ./hcov-panel 4ce8381b-d974-4353-b0a9-176845071cdf /home/michaeljon/pipeline/fastq/Chip11/Sample_5_IonXpress_005_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
30	:	1686604147.288	   160.116	0	288	0	0		 ./hcov-panel bf752fc3-8cf6-4ff4-982c-4321b6ba41df /home/michaeljon/pipeline/fastq/Chip11/Sample_7_IonXpress_007_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
18	:	1686603543.455	   952.873	0	288	0	0		 ./hcov-panel 5bf531f8-4c57-4348-b20a-8a414b33d5a4 /home/michaeljon/pipeline/fastq/Chip11/Sample_26_IonXpress_026_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
32	:	1686604307.409	   254.000	0	288	0	0		 ./hcov-panel ca1b0ed0-3ba6-4405-9f24-067b8d503626 /home/michaeljon/pipeline/fastq/Chip11/Sample_9_IonXpress_009_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
31	:	1686604176.215	   405.670	0	288	0	0		 ./hcov-panel cfe01609-03b6-4e32-8f4f-d1b593b61474 /home/michaeljon/pipeline/fastq/Chip11/Sample_8_IonXpress_008_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
29	:	1686604127.678	  1040.332	0	288	0	0		 ./hcov-panel 90ca456a-300d-4e2c-a62c-b274f2d9d67b /home/michaeljon/pipeline/fastq/Chip11/Sample_6_IonXpress_006_R_2023_06_07_11_39_08_user_GSS5PR-0172-16-20230606_Chip_11.fastq Chip11
